fips,county,state,gcd_name,gcd_present,gcd_funding,gcd_rule_strength,pgma,confidence,source,notes
48367,Parker,TX,Upper Trinity GCD,1,1,1,1,high,"TWDB GCD map NOV-2019 (#94 UTGCD); LBB SB1983 (2007)","fee-only; in N-Central TX PGMA"
48221,Hood,TX,Upper Trinity GCD,1,1,1,1,high,"TWDB GCD map NOV-2019 (#94 UTGCD)","also overlaps Prairielands #71; primary UTGCD"
48337,Montague,TX,Upper Trinity GCD,1,1,1,1,high,"TWDB GCD map NOV-2019 (#94 UTGCD)","same district"
48497,Wise,TX,Upper Trinity GCD,1,1,1,1,high,"TWDB GCD map NOV-2019 (#94 UTGCD)","same district"
48439,Tarrant,TX,Northern Trinity GCD,1,1,1,1,high,"TWDB GCD map NOV-2019 (#62 NTGCD)","NTGCD covers Tarrant only per TAGD; fee-only; in N-Central TX PGMA"
48113,Dallas,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered)","Dallas not in any GCD; surface water (NTMWD)"
48209,Hays,TX,Barton Springs/Edwards + Hays Trinity,1,2,2,0,high,"TWDB GCD map NOV-2019 (#2 BSEACD + #32 Hays Trinity)","both tax-funded; both strong rules"
48217,Hill,TX,Prairielands GCD,1,2,1,0,high,"TWDB GCD spatial join NOV-2019 — 98.6% coverage","Prairielands GCD (#71) DOES cover Hill at 98.6% per TWDB Nov-2019 GCD shapefile; tax-funded; moderate rules. Earlier hand-code was wrong."
48467,Van Zandt,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered)","confirmed no GCD"
48331,Milam,TX,Post Oak Savannah GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#70 POSGCD)","tax-funded; strong rules post-Vista Ridge; covers Milam + Burleson"
48441,Taylor,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered) — user-verified","Taylor + most surrounding counties uncovered; surface water from Hubbard Creek/Phantom Hill"
48371,Pecos,TX,Middle Pecos GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#57 Middle Pecos GCD)","tax-funded; covers Pecos county (Reeves now has own #76)"
48029,Bexar,TX,Edwards Aquifer Authority + Trinity Glen Rose GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (EAA + #93 TGR)","EAA SB 1477 (1993); strongest groundwater regulation in TX"
48085,Collin,TX,North Texas GCD,1,1,1,0,high,"TWDB GCD spatial join NOV-2019 — 99.9% coverage","North Texas GCD (#61, created 2009) covers Collin + Denton primarily; fee-only; moderate rules. Earlier hand-code missed NTGCD's existence."
48201,Harris,TX,Harris-Galveston Subsidence District,1,2,2,0,high,"TWDB GCD map NOV-2019 (HGSD)","subsidence-driven; tax-funded; strong rules"
48453,Travis,TX,Barton Springs/Edwards + Southwestern Travis County GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#2 BSEACD + #87 SW Travis Co)","Travis partially covered south + west"
48121,Denton,TX,North Texas GCD,1,1,1,1,high,"TWDB GCD spatial join NOV-2019 — 99.9% coverage","North Texas GCD (#61, created 2009) covers Denton primarily; fee-only; moderate rules. In N-Central TX PGMA. Earlier hand-code missed NTGCD."
48075,Childress,TX,Mesquite GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#55 Mesquite GCD)","covers Childress + Collingsworth + Hall + Donley"
48191,Hall,TX,Mesquite GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#55 Mesquite GCD)","same district as Childress"
48189,Hale,TX,High Plains UWCD No. 1,1,2,2,0,high,"TWDB GCD map NOV-2019 (#36 HPUWCD No. 1)","tax-funded; covers Hale + several panhandle counties; declining Ogallala"
48027,Bell,TX,Clearwater UWCD,1,2,1,0,high,"TWDB GCD map NOV-2019 (#13 Clearwater UWCD)","Bell County only; tax-funded; moderate rule strength"
48041,Brazos,TX,Brazos Valley GCD,1,2,1,0,high,"TWDB GCD map NOV-2019 (#7 Brazos Valley GCD)","tax-funded; moderate rule strength; covers Brazos + Robertson"
48021,Bastrop,TX,Lost Pines GCD,1,2,2,0,high,"TWDB GCD map NOV-2019 (#49 Lost Pines GCD)","tax-funded; strong rules post-Vista Ridge; covers Bastrop + Lee"
48475,Ward,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered)","CORRECTION: Ward NOT in Middle Pecos GCD; Ward + Crane + Loving uncovered"
48139,Ellis,TX,Prairielands GCD,1,2,1,0,high,"TWDB GCD map NOV-2019 (#71 Prairielands GCD)","tax-funded; covers Ellis + Johnson + Somervell (+ partial Hood)"
48207,Haskell,TX,Rolling Plains GCD,1,1,1,0,med,"TWDB GCD map NOV-2019 (#78 Rolling Plains GCD) — verify Haskell included","Rolling Plains district number 78 in region; user noted most counties near Taylor uncovered"
48035,Bosque,TX,Middle Trinity GCD,1,2,1,0,high,"TWDB GCD map NOV-2019 (#58 Middle Trinity GCD)","tax-funded; moderate rules; covers Bosque + Comanche + Coryell"
48349,Navarro,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered)","Navarro confirmed uncovered"
48135,Ector,TX,no GCD,0,0,0,0,high,"TWDB GCD map NOV-2019 (uncovered)","Ector (Odessa) uncovered; Permian Basin UWCD #66 covers Andrews/Howard/Martin not Ector"
