fips,county,n_gcds,primary_gcd,primary_act,max_coverage,total_coverage
48327,Menard,4,Menard County UWCD,SB 1465,86.5,100
48151,Fisher,1,Clear Fork GCD,HB 3674,100,100
48375,Potter,2,Panhandle GCD,P-TBWE,94.1,99.9
48413,Schleicher,2,Plateau UWC and Supply District,HB 1059,100,100
48045,Briscoe,1,Mesquite GCD,HB 1148,0.3,0.3
48265,Kerr,4,Headwaters UWCD,HB 1463,99.2,100
48269,King,1,Gateway GCD,SB 1950,100,100
48165,Gaines,2,Llano Estacado UWCD,HB 0530,99.9,100
48393,Roberts,3,Panhandle GCD,P-TBWE,99.9,100
48399,Runnels,1,Lipan-Kickapoo WCD,SB 1525,99.1,99.1
48301,Loving,1,Reeves County GGD,SB 890,1.1,1.1
48193,Hamilton,1,Middle Trinity GCD,HB 3665,0.1,0.1
48335,Mitchell,2,Lone Wolf GCD,SB 1911,99.9,100
48493,Wilson,3,Evergreen UWCD,HB 0116,99.7,100
48233,Hutchinson,2,North Plains GCD,P-TBWE,30.6,34.9
48325,Medina,3,Edwards Aquifer Authority,SB 1477,99.9,100
48009,Archer,1,Rolling Plains GCD,HB 2862,0,0
48195,Hansford,1,North Plains GCD,P-TBWE,100,100
48155,Foard,2,Gateway GCD,SB 1950,98.8,100
48095,Concho,2,Lipan-Kickapoo WCD,SB 1525,88.2,99.6
48107,Crosby,2,High Plains UWCD No.1,P-TBWE,74.9,74.9
48117,Deaf Smith,1,High Plains UWCD No.1,P-TBWE,58.7,58.7
48127,Dimmit,1,Wintergarden GCD,HB 3602,100,100
48131,Duval,3,Duval County GCD,SB 1847,99.6,100
48023,Baylor,1,Rolling Plains GCD,HB 2862,99.9,99.9
48047,Brooks,2,Brush Country GCD,SB 2456,71.5,99.5
48191,Hall,1,Mesquite GCD,HB 1148,99.8,99.8
48507,Zavala,3,Wintergarden GCD,HB 3602,99.5,100
48011,Armstrong,2,Panhandle GCD,P-TBWE,92.2,99.9
48359,Oldham,1,High Plains UWCD No.1,P-TBWE,0.1,0.1
48187,Guadalupe,3,Guadalupe County GCD,HB 3817,60.6,100
48235,Irion,2,Irion County WCD,SB 206,100,100
48311,McMullen,1,McMullen GCD,SB 1911,100,100
48463,Uvalde,4,Edwards Aquifer Authority,SB 1477,99.9,100
