site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes
COMP-001,1102 McKinzie LLC Data Center,1102 McKinzie LLC,,,,operating,02/23/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=1102 McKinzie LLC; occupant=1102 McKinzie LLC; operator=1102 McKinzie LLC; addr_guess=1102 McKinzie LLC Data Center; verify county/MW
COMP-002,1242 McKinzie LLC Data Center,1102 McKinzie LLC,,,,operating,06/11/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=1242 McKinzie LLC; occupant=1242 McKinzie LLC; operator=1102 McKinzie LLC; addr_guess=1242 McKinzie LLC Data Center; verify county/MW
COMP-003,3301 Hibbetts Road Data Center,"Core Scientific, Inc. Coreweave Compute Acquisition Co. II. LLC CCAC IV.II, LLC",,,,operating,02/20/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=; occupant=Coreweave, Inc.; operator=Core Scientific, Inc. Coreweave Compute Acquisition Co. II. LLC CCAC IV.II, LLC; addr_guess=3301 Hibbetts Road Data Center; verify county/MW"
COMP-004,ALE60 Data Center,Amazon Data Services Inc.,,,,operating,01/01/2021,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=COPT San Antonio LP; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW
COMP-005,ALE61 Data Center,Amazon Data Services Inc.,,,,operating,01/01/2021,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Amazon Data Services Inc.; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW
COMP-006,ALE62 Data Center,Amazon Data Services Inc.,,,,operating,01/01/2021,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Amazon Data Services Inc.; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW
COMP-007,Austin Data Center 2 LLC,"Google, LLC",,,,operating,01/15/2025,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Austin Data Center 2 LLC; occupant=Design, LLC; operator=Google, LLC; addr_guess=NA; verify county/MW"
COMP-008,Bastrop Project One,Ocean Blockchain LLC,,,,operating,12/06/2023,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Ocean Blockchain LLC; occupant=Ocean Blockchain LLC; operator=Ocean Blockchain LLC; addr_guess=NA; verify county/MW
COMP-009,C1 Dallas - Allen (LOT 1) LLC,"C1 Dallas - Allen (LOT 1) LLC Oracle America, Inc.",,,,operating,11/01/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Dallas - Allen (LOT 1) LLC; occupant=Oracle America Cloud Services LLC; operator=C1 Dallas - Allen (LOT 1) LLC Oracle America, Inc.; addr_guess=NA; verify county/MW"
COMP-010,C1 Richardson LLC Data Center,C1 Richardson LLC,,,,operating,05/08/2025,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Richardson LLC; occupant=Coreweave, Inc.; operator=C1 Richardson LLC; addr_guess=NA; verify county/MW"
