site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes,assign_pattern
COMP-004,ALE60 Data Center,Amazon Data Services Inc.,48029,,,operating,01/01/2021,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=COPT San Antonio LP; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW,San Antonio|SAT\d+|Microsoft.*Texas|Schertz|Selma|Universal City
COMP-005,ALE61 Data Center,Amazon Data Services Inc.,48085,,,operating,01/01/2021,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Amazon Data Services Inc.; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW,Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-006,ALE62 Data Center,Amazon Data Services Inc.,48085,,,operating,01/01/2021,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Amazon Data Services Inc.; occupant=Amazon Data Services Inc.; operator=Amazon Data Services Inc.; addr_guess=NA; verify county/MW,Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-007,Austin Data Center 2 LLC,"Google, LLC",48453,,,operating,01/15/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Austin Data Center 2 LLC; occupant=Design, LLC; operator=Google, LLC; addr_guess=NA; verify county/MW",Austin Data Center|AUS\d+|Tesla|Giga Texas|Pflugerville
COMP-008,Bastrop Project One,Ocean Blockchain LLC,48021,,,operating,12/06/2023,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Ocean Blockchain LLC; occupant=Ocean Blockchain LLC; operator=Ocean Blockchain LLC; addr_guess=NA; verify county/MW,Bastrop
COMP-009,C1 Dallas - Allen (LOT 1) LLC,"C1 Dallas - Allen (LOT 1) LLC Oracle America, Inc.",48085,,,operating,11/01/2024,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Dallas - Allen (LOT 1) LLC; occupant=Oracle America Cloud Services LLC; operator=C1 Dallas - Allen (LOT 1) LLC Oracle America, Inc.; addr_guess=NA; verify county/MW",Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-010,C1 Richardson LLC Data Center,C1 Richardson LLC,48085,,,operating,05/08/2025,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Richardson LLC; occupant=Coreweave, Inc.; operator=C1 Richardson LLC; addr_guess=NA; verify county/MW",Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-012,"Cedarvale, Barslow/Pyote TX Data Center",Ionic Digital Mining LLC,48475,,,operating,01/30/2024,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Ionic Digital Cedarvale LLC; occupant=Ionic Digital Mining LLC; operator=Ionic Digital Mining LLC; addr_guess=NA; verify county/MW,Pyote
COMP-013,Cipher Black Pearl LLC Data Center,Cipher Black Pearl LLC,48201,,,operating,02/15/2024,100,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Cipher Black Pearl LLC; occupant=Cipher Black Pearl LLC; operator=Cipher Black Pearl LLC; addr_guess=NA; verify county/MW,Cipher Black Pearl|Gulf Horizon|^SF HOU|Cutten
COMP-014,Cipher Mining Technologies Inc. - Odessa Site,Cipher Mining Technologies Inc.,48135,,,operating,01/24/2023,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Cipher Mining Technologies Inc.; occupant=Cipher Mining Technologies Inc.; operator=Cipher Mining Technologies Inc.; addr_guess=NA; verify county/MW,Odessa
COMP-015,DFW 9,Databank Holdings LTD,48139,,,operating,10/01/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DB Data Center Red Oak, LLC; occupant=Oracle America Cloud Services LLC; operator=Databank Holdings LTD; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-016,DFW 10,Databank Holdings LTD,48139,,,operating,10/01/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DB Data Center Red Oak, LLC; occupant=Oracle America Cloud Services LLC; operator=Databank Holdings LTD; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-017,DFW 11,Databank Holdings LTD,48139,,,operating,10/01/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DB Data Center Red Oak, LLC; occupant=Oracle America Cloud Services LLC; operator=Databank Holdings LTD; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-018,DFW 12,Databank Holdings LTD,48139,,,operating,10/01/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DB Data Center Red Oak, LLC; occupant=Oracle America Cloud Services LLC; operator=Databank Holdings LTD; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-019,DFW 37,"Digital Garland Campbell, L.P.",48113,,,operating,05/14/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Digital Garland Campbell, L.P.; occupant=LinkedIn Corporation; operator=Digital Garland Campbell, L.P.; addr_guess=NA; verify county/MW",Garland|Carrollton|Mesquite|Irving|Cedar Hill|Duncanville
COMP-020,Digital Garland,"DDI Garland, LLC",48113,,,operating,06/13/2022,20,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DDI Garland, LLC; occupant=Wells Fargo Bank, NA; operator=DDI Garland, LLC; addr_guess=NA; verify county/MW",Garland|Carrollton|Mesquite|Irving|Cedar Hill|Duncanville
COMP-023,Fort Haskell Data Center,Fort Haskell LLC,48207,,,operating,01/16/2024,25,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Fort Haskell LLC; occupant=Fort Haskell LLC; operator=Fort Haskell LLC; addr_guess=NA; verify county/MW,Fort Haskell|\bHaskell\b
COMP-024,Giga Texas Datacenter,"Tesla, Inc.",48453,,,operating,03/25/2024,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Tesla, Inc.; occupant=Tesla, Inc.; operator=Tesla, Inc.; addr_guess=NA; verify county/MW",Austin Data Center|AUS\d+|Tesla|Giga Texas|Pflugerville
COMP-025,Hackberry Data Center,Silver Basin Digital Infrastructure LLC,48121,,,operating,12/15/2025,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Silver Basin Digital Infrastructure LLC; occupant=American Bitcoin Operating LLC; operator=Silver Basin Digital Infrastructure LLC; addr_guess=NA; verify county/MW,Denton Data Center|Denton County|Hackberry
COMP-027,Hockley Data Center,SF HOUH LLC,48201,,,operating,07/20/2024,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=SF HOUH LLC; occupant=SF HOUH LLC; operator=SF HOUH LLC; addr_guess=NA; verify county/MW,Houston|Hockley|Katy|Cinco|Spring|Tomball|IAH\d*
COMP-028,Independence Data Center,Core42 Holding US LLC,48029,,,operating,08/20/2024,200,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=; occupant=Core42 Holding US LLC; operator=Core42 Holding US LLC; addr_guess=NA; verify county/MW,Independence Data Center|Core42
COMP-029,Lancium Fort Stockton Clean Campus,Lancium LLC,48371,,,operating,07/20/2022,250,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Lancium LLC; occupant=Lancium LLC; operator=Lancium LLC; addr_guess=NA; verify county/MW,Fort Stockton
COMP-030,Lewisville DFW38,"DDI Lewisville, LLC",48121,,,operating,04/01/2022,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DDI Lewisville, LLC; occupant=Wells Fargo Bank National Association; operator=DDI Lewisville, LLC; addr_guess=NA; verify county/MW",Lewisville|Flower Mound|Lake Dallas|Argyle
COMP-031,LinkedIn Richardson Texas Data Center,Collins Technology Park Partners LLC,48085,,,operating,02/20/2014,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Collins Technology Park Partners LLC; occupant=LinkedIn Corporation; operator=Collins Technology Park Partners LLC; addr_guess=NA; verify county/MW,Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-032,Lonestar Taproot LLC - Pyote,Lonestar Dream Inc.,48475,,,operating,02/15/2022,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Lonestar Dream Inc.; occupant=Lonestar Dream Inc.; operator=Lonestar Dream Inc.; addr_guess=NA; verify county/MW,Pyote
COMP-033,Lonestar Taproot LLC - Tarbush,Lonestar Dream Inc.,48475,,,operating,02/15/2022,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Lonestar Dream Inc.; occupant=Lonestar Dream Inc.; operator=Lonestar Dream Inc.; addr_guess=NA; verify county/MW,Tarbush|Wickett|Monahans
COMP-035,Microsoft San Antonio (SAT14),Microsoft Corporation,48029,,,operating,08/18/2021,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,San Antonio|SAT\d+|Microsoft.*Texas|Schertz|Selma|Universal City
COMP-037,NTT Global Data Centers Americas - Dallas TX2,"NTT Global Data Centers Americas, Inc.",48113,,,operating,10/20/2022,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=NTT Global Data Centers TX, LLC; occupant=NTT Global Data Centers TX, LLC; operator=NTT Global Data Centers Americas, Inc.; addr_guess=NA; verify county/MW",NTT Global.*Dallas
COMP-038,NTT Global Data Centers Americas - Dallas TX3,"NTT Global Data Centers Americas, Inc.",48113,,,operating,10/01/2022,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=NTT Global Data Centers TX, LLC; occupant=NTT Global Data Centers TX, LLC; operator=NTT Global Data Centers Americas, Inc.; addr_guess=NA; verify county/MW",NTT Global.*Dallas
COMP-039,NTT Global Data Centers Americas - Dallas TX4,"NTT Global Data Centers Americas, Inc.",48113,,,operating,04/18/2024,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=NTT Global Data Centers TX, LLC; occupant=NTT Global Data Centers TX, LLC; operator=NTT Global Data Centers Americas, Inc.; addr_guess=NA; verify county/MW",NTT Global.*Dallas
COMP-040,QTS Irving DC3 Data Center,"QTS Irving DC3, LLC Quality Technology Services, LLC",48113,,,operating,02/09/2024,80,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=QTS Irving DC3, LLC; occupant=Microsoft Corporation; operator=QTS Irving DC3, LLC Quality Technology Services, LLC; addr_guess=NA; verify county/MW",Garland|Carrollton|Mesquite|Irving|Cedar Hill|Duncanville
