site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes,assign_pattern
COMP-001,1102 McKinzie LLC Data Center,1102 McKinzie LLC,,,,operating,02/23/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=1102 McKinzie LLC; occupant=1102 McKinzie LLC; operator=1102 McKinzie LLC; addr_guess=1102 McKinzie LLC Data Center; verify county/MW,
COMP-002,1242 McKinzie LLC Data Center,1102 McKinzie LLC,,,,operating,06/11/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=1242 McKinzie LLC; occupant=1242 McKinzie LLC; operator=1102 McKinzie LLC; addr_guess=1242 McKinzie LLC Data Center; verify county/MW,
COMP-003,3301 Hibbetts Road Data Center,"Core Scientific, Inc. Coreweave Compute Acquisition Co. II. LLC CCAC IV.II, LLC",,,,operating,02/20/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=; occupant=Coreweave, Inc.; operator=Core Scientific, Inc. Coreweave Compute Acquisition Co. II. LLC CCAC IV.II, LLC; addr_guess=3301 Hibbetts Road Data Center; verify county/MW",
COMP-011,Canadian Breaks Data Center,Zephyr Infrastructure LLC,,,,operating,09/05/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Zephyr Infrastructure LLC; occupant=American Bitcoin Operating LLC; operator=Zephyr Infrastructure LLC; addr_guess=NA; verify county/MW,
COMP-021,Dory Creek LLC Data Center,Dory Creek LLC,,,,operating,04/03/2023,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Bitdeer Inc.; occupant=Dory Creek LLC; operator=Dory Creek LLC; addr_guess=NA; verify county/MW,
COMP-022,Fort Blocks LLC Data Center,Fort Blocks LLC,,,,operating,01/01/2022,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Fort Blocks LLC; occupant=Fort Blocks LLC; operator=Fort Blocks LLC; addr_guess=NA; verify county/MW,
COMP-026,HELO1 DC,"GALAXY HELIOS I Coreweave Compute Acquisition Co. III, LLC",,,,operating,06/08/2021,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=GALAXY HELIOS I; occupant=COREWEAVE, INC.; operator=GALAXY HELIOS I Coreweave Compute Acquisition Co. III, LLC; addr_guess=NA; verify county/MW",
COMP-034,Microsoft Corporation,Microsoft Corporation,,,,operating,12/01/2013,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,
COMP-036,NADC,"McKinstry Essention, LLC",,,,operating,09/01/2013,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Microsoft Corporation; occupant=Chevron USA Inc.; operator=McKinstry Essention, LLC; addr_guess=NA; verify county/MW",
COMP-046,SDC SATB1,"SDC SA III, L.P.",,,,operating,03/10/2024,,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SDC SA III, L.P.; occupant=Microsoft Corporation; operator=SDC SA III, L.P.; addr_guess=NA; verify county/MW",
