file,notice_type,prop_id,geo_id,street,legal,acres,isd,ly_land,ty_land,ly_apprd,ty_apprd,ty_prodls,tax_at_ly_rate
0499c479-aeee-47f7-aada-cfad9e8f0acd.txt,CORRECTED,R122282,22430.001.002.00,5301 AZLE HWY,"ABST: 2430, TRACT: PT 1, SURVEY: TUCKER ELIJAH ACRES: 80.900",80.9,WE,2022500,2022500,5830,2022500,0,32550.67
0499c479-aeee-47f7-aada-cfad9e8f0acd.txt,ORIGINAL,R122282,22430.001.002.00,5301 AZLE HWY,"ABST: 2430, TRACT: PT 1, SURVEY: TUCKER ELIJAH ACRES: 80.900",80.9,WE,2022500,2022500,5830,5990,-2016510,96.41
08fc2827-cc44-4e22-9047-1411e17ee550.txt,CORRECTED,R127493,22509.001.001.00,"Legal Description:      ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 116.360","ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 116.360",116.36,WE,2909000,2909000,8380,2909000,0,46818.24
08fc2827-cc44-4e22-9047-1411e17ee550.txt,ORIGINAL,R127493,22509.001.001.00,"Legal Description:   ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 116.360","ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 116.360",116.36,WE,2909000,2909000,8380,8610,-2900390,138.57
1632432c-e2c1-46d7-82df-3d6cf8aed1dc.txt,CORRECTED,R67059,22509.001.000.00,AZLE HWY,"ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 35.140",35.14,WE,1546160,1546160,2530,1546160,0,24884.32
1632432c-e2c1-46d7-82df-3d6cf8aed1dc.txt,ORIGINAL,R67059,22509.001.000.00,AZLE HWY,"ABST: 2509, TRACT: PT 1, SURVEY: TUCKER MARTHA E ACRES: 35.140",35.14,WE,1546160,1546160,2530,2600,-1543560,41.85
17e7a0aa-650c-447d-915a-e844004c1584.txt,CORRECTED,R122281,21437.001.001.00,AZLE HWY,"ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 283.890",283.89,WE,7097250,7097250,20440,7097250,0,114225.06
17e7a0aa-650c-447d-915a-e844004c1584.txt,ORIGINAL,R122281,21437.001.001.00,AZLE HWY,"ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 283.890",283.89,WE,7097250,7097250,20440,21010,-7076240,338.15
2475cb8e-10f9-4e6c-8af5-e2ae6c545def.txt,ORIGINAL,R41080,20466.003.000.00,AZLE HWY,"ABST: 466, TRACT: PT 1, SURVEY: FRAZIER SOLOMON ACRES: 117.430",117.43,WE,5166920,5166920,8460,7400,-5159520,119.09
2475cb8e-10f9-4e6c-8af5-e2ae6c545def.txt,CORRECTED,R41080,20466.003.000.00,AZLE HWY,"ABST: 466, TRACT: PT 1, SURVEY: FRAZIER SOLOMON ACRES: 117.430",117.43,WE,5166920,5166920,8460,5166920,0,83157.81
3165912f-048f-4538-a32e-e7b3b44d6bee.txt,CORRECTED,R127495,21437.001.002.00,"Legal Description:      ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 326.110","ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 326.110",326.11,WE,8152750,8152750,23480,8152750,0,131212.57
3165912f-048f-4538-a32e-e7b3b44d6bee.txt,ORIGINAL,R127495,21437.001.002.00,"Legal Description:   ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 326.110","ABST: 1437, TRACT: PT 1, SURVEY: T & P RR CO ACRES: 326.110",326.11,WE,8152750,8152750,23480,24130,-8128620,388.36
3906c495-f3b5-4282-886f-f3dd563fad79.txt,CORRECTED,R55843,21442.006.000.00,AZLE HWY,"ABST: 1442, TRACT: PT 2, SURVEY: T & P RR CO ACRES: 153.740",153.74,WE,3843500,3843500,11070,3843500,0,61858.32
3906c495-f3b5-4282-886f-f3dd563fad79.txt,ORIGINAL,R55843,21442.006.000.00,AZLE HWY,"ABST: 1442, TRACT: PT 2, SURVEY: T & P RR CO ACRES: 153.740",153.74,WE,3843500,3843500,11070,11380,-3832120,183.16
461fe106-55ba-4e95-a2ea-095b9cfa7800.txt,ORIGINAL,R127500,21437.001.003.00,5301 AZLE HWY WE,"ABST: 2430, TRACT: PT 1, SURVEY: TUCKER ELIJAH ACRES: 1.000",1.0,WE,,,,,,4031.77
67eafdb7-03b0-4c08-92d0-57c86f5d82b4.txt,CORRECTED,R55735,21437.001.000.00,AZLE HWY,"ABST: 1437, TRACT: PT 2, SURVEY: T & P RR CO SUR 61 ACRES: 30.000",30.0,WE,750000,750000,2160,750000,0,12070.69
67eafdb7-03b0-4c08-92d0-57c86f5d82b4.txt,ORIGINAL,R55735,21437.001.000.00,AZLE HWY,"ABST: 1437, TRACT: PT 2, SURVEY: T & P RR CO SUR 61 ACRES: 30.000",30.0,WE,750000,750000,2160,2220,-747780,35.74
8302af68-ec65-43e1-a425-666c7ed527a0.txt,CORRECTED,R67781,22620.007.000.00,501 PEARSON RD,"ABST: 2620, SURVEY: SIMMONS AMOS ACRES: 15.000",15.0,WE,660000,660000,1080,660000,0,10622.22
8302af68-ec65-43e1-a425-666c7ed527a0.txt,ORIGINAL,R67781,22620.007.000.00,501 PEARSON RD,"ABST: 2620, SURVEY: SIMMONS AMOS ACRES: 15.000",15.0,WE,660000,660000,1080,1110,-658890,17.87
89f05f00-a06e-4c4f-9f4c-d69480130f77.txt,CORRECTED,R64849,22221.001.000.00,AZLE HWY,"ABST: 2221, TRACT: PT 1, SURVEY: HOLFORD DALLAS ACRES: 160.000",160.0,WE,4000000,4000000,11520,4000000,0,64377.08
89f05f00-a06e-4c4f-9f4c-d69480130f77.txt,ORIGINAL,R64849,22221.001.000.00,AZLE HWY,"ABST: 2221, TRACT: PT 1, SURVEY: HOLFORD DALLAS ACRES: 160.000",160.0,WE,4000000,4000000,11520,11840,-3988160,190.56
976159b0-0b10-409a-bfc0-42141245be21.txt,CORRECTED,R59769,21633.001.000.00,AZLE HWY,"ABST: 1633, TRACT: PT 2, SURVEY: WALES FRANCIS M ACRES: 155.763",155.763,WE,3884330,3894080,11190,3894080,0,62672.37
976159b0-0b10-409a-bfc0-42141245be21.txt,ORIGINAL,R59769,21633.001.000.00,AZLE HWY,"ABST: 1633, TRACT: PT 2, SURVEY: WALES FRANCIS M ACRES: 155.763",155.763,WE,3884330,3894080,11190,11530,-3882550,185.56
9f3e686a-b3cf-455f-9a8d-84e7e9809927.txt,CORRECTED,R55844,21442.007.000.00,AZLE HWY,"ABST: 1442, TRACT: PT 2, SURVEY: T & P RR CO ACRES: 40.000",40.0,WE,1000000,1000000,2880,1000000,0,16094.27
9f3e686a-b3cf-455f-9a8d-84e7e9809927.txt,ORIGINAL,R55844,21442.007.000.00,AZLE HWY,"ABST: 1442, TRACT: PT 2, SURVEY: T & P RR CO ACRES: 40.000",40.0,WE,1000000,1000000,2880,2960,-997040,47.64
d0c55aa0-086e-40c1-b379-93c6c3a89b65.txt,CORRECTED,R61226,21771.001.000.00,AZLE HWY,"ABST: 1771, TRACT: PT 2, SURVEY: HARTNESS R H ACRES: 160.000",160.0,WE,4000000,4000000,11520,4000000,0,64377.08
d0c55aa0-086e-40c1-b379-93c6c3a89b65.txt,ORIGINAL,R61226,21771.001.000.00,AZLE HWY,"ABST: 1771, TRACT: PT 2, SURVEY: HARTNESS R H ACRES: 160.000",160.0,WE,4000000,4000000,11520,11840,-3988160,190.56
d5a0e7ea-60a3-4a8b-bc9a-cb58c126a1d6.txt,CORRECTED,R66342,22430.001.000.50,5301 AZLE HWY,"ABST: 2430, TRACT: PT 2, SURVEY: TUCKER ELIJAH ACRES: 65.897",65.897,WE,1647430,1647430,4750,1647430,0,26514.18
d5a0e7ea-60a3-4a8b-bc9a-cb58c126a1d6.txt,ORIGINAL,R66342,22430.001.000.50,5301 AZLE HWY,"ABST: 2430, TRACT: PT 2, SURVEY: TUCKER ELIJAH ACRES: 65.897",65.897,WE,1647430,1647430,4750,4880,-1642550,78.54
e69cfadf-c123-4e58-9cb6-0847271df1a7.txt,CORRECTED,R101851,22430.001.001.00,"Legal Description:      ABST: 2430, SURVEY: TUCKER ELIJAH ACRES: 1.273","ABST: 2430, SURVEY: TUCKER ELIJAH ACRES: 1.273",1.273,WE,56010,56010,90,56010,0,901.45
e69cfadf-c123-4e58-9cb6-0847271df1a7.txt,ORIGINAL,R101851,22430.001.001.00,"Legal Description:   ABST: 2430, SURVEY: TUCKER ELIJAH ACRES: 1.273","ABST: 2430, SURVEY: TUCKER ELIJAH ACRES: 1.273",1.273,WE,56010,56010,90,90,-55920,1.46
eda32f2a-0a6a-41ec-8f6b-f4997dd07cbc.txt,ORIGINAL,R41082,20466.004.000.50,501 PEARSON RANCH RD,"ABST: 466, SURVEY: FRAZIER SOLOMON ACRES: 172.777",172.777,WE,7602190,7602190,12440,12790,-7589400,205.84
eda32f2a-0a6a-41ec-8f6b-f4997dd07cbc.txt,CORRECTED,R41082,20466.004.000.50,501 PEARSON RANCH RD,"ABST: 466, SURVEY: FRAZIER SOLOMON ACRES: 172.777",172.777,WE,7602190,7602190,12440,7602190,0,122351.7
f927018d-876c-41c4-8997-e912fd200a48.txt,ORIGINAL,R50817,21143.001.000.00,AZLE HWY,"ABST: 1143, TRACT: PT 2, SURVEY: RAGLE WM H ACRES: 160.000",160.0,WE,4000000,4000000,11520,11840,-3988160,190.56
f927018d-876c-41c4-8997-e912fd200a48.txt,CORRECTED,R50817,21143.001.000.00,AZLE HWY,"ABST: 1143, TRACT: PT 2, SURVEY: RAGLE WM H ACRES: 160.000",160.0,WE,4000000,4000000,11520,4000000,0,64377.08
