rn,site_name,county_fips,county,address_or_locator,role,note
RN112172408,PARKER PLANT,48367,Parker,501 PEARSON RANCH RD,OWNER OPERATOR,"Black Mountain DC partner; ~75 MW; this project"
RN112127360,BELL COUNTY POWER PLANT,48027,Bell,10865 STALLION RD TEMPLE,OWNER OPERATOR,"adjacent to existing Microsoft DC cluster"
RN112380654,BOWIE COUNTY POWER PLANT,48037,Bowie,Hooks TX,OWNER OPERATOR,
RN112202957,CARSON COUNTY POWER PLANT,48065,Carson,Panhandle TX,OWNER OPERATOR,
RN112380662,CHEROKEE COUNTY POWER PLANT,48073,Cherokee,Reklaw TX,OWNER OPERATOR,
RN112249347,FANNIN COUNTY POWER PLANT,48147,Fannin,500 N CEDAR ST SAVOY,OWNER OPERATOR,
RN112202940,HALE COUNTY POWER PLANT,48189,Hale,Abernathy TX,OWNER OPERATOR,"adjacent to Fluidstack Abernathy DC"
RN112104658,JACK COUNTY POWER PLANT,48237,Jack,10670 FM 2210 E BRIDGEPORT,OWNER OPERATOR,
RN112127394,SOMERVELL COUNTY POWER PLANT,48425,Somervell,Glen Rose TX,OWNER OPERATOR,"immediately adjacent to Hood County (which declined a DC plat)"
RN111998852,SIEMENS SGT-800,48439,Tarrant,JOHN DAY RD,OWNER OPERATOR,"Siemens SGT-800 ~50 MW turbine"
RN112028394,SIEMENS SGT-800 NO 2,48439,Tarrant,1225 HARMON RD FORT WORTH,OWNER OPERATOR,"Siemens SGT-800 ~50 MW turbine"
RN112045877,SIEMENS SGT-800 NO 3,48439,Tarrant,3600 LON STEVENSON RD FORT WORTH,OWNER OPERATOR,"Siemens SGT-800 ~50 MW turbine"
RN112202932,WHEELER COUNTY POWER PLANT,48483,Wheeler,Shamrock TX,OWNER OPERATOR,
RN112127402,WILLIAMSON COUNTY POWER PLANT,48491,Williamson,Jonah TX near Georgetown,OWNER OPERATOR,"no moratorium activity; ripe for organizing"
