code,descr,type,rate,n_homestead
BR,BROCK I.S.D.,SCHOOL,0.012552000,2450
AL,ALEDO I.S.D.,SCHOOL,0.012052000,10135
PE,PEASTER I.S.D.,SCHOOL,0.011364000,1945
AZ,AZLE I.S.D.,SCHOOL,0.010979000,5565
MI,MILLSAP ISD,SCHOOL,0.010698000,1671
LI,LIPAN,SCHOOL,0.010538560,5
WE,WEATHERFORD I.S.D.,SCHOOL,0.010342000,15902
ERMD,EAGLE RIDGE MUD,OTHER,0.010000000,0
MD1,MUD 1,OTHER,0.010000000,0
MD2,MUD 2,OTHER,0.010000000,0
CCMD2,CRESSON CROSSROADS MUD 2,OTHER,0.010000000,0
MW,MINERAL WELLS ISD,SCHOOL,0.009873000,23
SP,SPRINGTOWN I.S.D.,SCHOOL,0.009555000,6744
CG,CRESSON GRANBURY,SCHOOL,0.009319000,301
PW,PERRIN WHITT I S D,SCHOOL,0.007992000,268
PO,POOLVILLE I.S.D.,SCHOOL,0.007575000,939
GA,GARNER I.S.D.,SCHOOL,0.007275000,569
CFW,CITY OF FORT WORTH,CITY,0.006725000,0
CAZ,CITY OF AZLE,CITY,0.006140869,0
CMW,CITY OF MINERAL WELLS,CITY,0.005732945,0
CRE,CITY OF RENO,CITY,0.005563190,0
CSP,CITY OF SPRINGTOWN,CITY,0.005065890,0
PID1,CITY OF HUDSON OAKS PID,OTHER,0.004600000,0
CWP,CITY WILLOW PARK,CITY,0.004325460,0
CWE,CITY OF WEATHERFORD,CITY,0.003984200,0
CAL,CITY OF ALEDO,CITY,0.003900820,0
CMI,CITY OF MILLSAP,CITY,0.002800000,0
PAR,PARKER COUNTY,COUNTY,0.002459380,0
CSA,CITY OF SANCTUARY,CITY,0.001500000,0
COL,JR COLLEGE DISTR,COLLEGE,0.001060870,0
ES1,EMERGENCY SERVICES D,FIRE,0.001000000,0
ES9,EMERGENCY SERVICES DISTRICT #9,FIRE,0.001000000,0
ES8,EMERGENCY SERVICES DISTRICT #8,FIRE,0.001000000,0
ES3,EMERGENCY SERV #3,FIRE,0.001000000,0
ES7,EMERGENCY SERV #7,FIRE,0.000990000,0
ES6,EMERGENCY SERV #6,FIRE,0.000930000,0
HOS,PARKER CO HOSPITAL DISTRICT,HOSPITAL,0.000895190,0
LTR,LATERAL ROAD,COUNTY,0.000533000,0
FD1,EMERGENCY SERVICES #,OTHER,0.000500000,0
