code,descr,type,total_taxable_base
WE,WEATHERFORD I.S.D.,SCHOOL,8506192425
AL,ALEDO I.S.D.,SCHOOL,6874372050
PAR,PARKER COUNTY,COUNTY,30538641883
COL,JR COLLEGE DISTR,COLLEGE,30503902335
HOS,PARKER CO HOSPITAL DISTRICT,HOSPITAL,30503906155
LTR,LATERAL ROAD,COUNTY,30577128686
ES1,EMERGENCY SERVICES DISTRICT,FIRE,13397255040
AZ,AZLE I.S.D.,SCHOOL,2512650737
SP,SPRINGTOWN I.S.D.,SCHOOL,2554113886
BR,BROCK I.S.D.,SCHOOL,1593602093
ES3,EMERGENCY SERV #3,FIRE,3084556033
PE,PEASTER I.S.D.,SCHOOL,952523366
MI,MILLSAP ISD,SCHOOL,815051200
