fips,poverty_rate_pct,median_hh_income,pct_65_pluse
01001,10.7,69841,16.3
01003,10.5,75019,21.7
01005,21.9,44290,20.1
01007,20.5,51215,17.4
01009,14.1,61096,18.6
01011,25.7,36723,18.6
01013,21,44881,22
01015,17.5,55826,18.2
01017,15.5,49295,20.3
01019,14.5,50769,24.4
01021,13.6,61873,17
01023,19.5,44483,24.4
01025,20.5,49167,21.1
01027,16.5,51852,20.6
01029,13.2,53319,20.1
01031,17.6,64672,17.2
01033,16.9,56736,20.4
01035,27.6,42266,24.9
01037,11.6,57063,25.3
01039,18,50886,22.2
01041,16.2,49040,20.2
01043,13.9,60916,19
01045,18.7,53955,18.1
01047,29,36810,20.4
01049,20.4,51149,17.6
01051,10.3,75553,16.5
01053,21.2,44447,19
01055,17.1,53070,19.7
01057,18.7,50733,21.9
01059,17.4,51493,16.7
01061,19.1,50951,20.3
01063,35.9,31495,25.1
01065,23.9,41325,20
01067,15.8,60135,23.8
01069,18,57531,18.7
01071,16.8,49454,20.9
01073,16.3,64589,16.8
01075,15.1,47447,22.4
01077,13.6,59082,20.5
01079,13.7,60040,19
01081,18.9,61123,13.3
01083,10.1,83534,15.6
01085,29.6,35160,20.6
01087,22.1,45951,21.2
01089,10.5,83528,15.7
01091,22.6,44205,20.6
01093,16.8,50714,21.4
01095,16.3,60946,17.1
01097,16.3,58119,17.3
01099,22.6,40225,21.6
01101,19.3,58153,16.2
01103,13.6,64858,18
01105,31.2,34368,21.6
01107,22.6,47014,19.9
01109,23.4,47961,15.6
01111,18.4,51551,21.9
01113,22.2,50046,15.3
01115,11.2,78993,17.9
01117,6.9,93543,16.8
01119,28.1,37981,19.8
01121,17.7,56249,19.4
01123,15.2,57185,23.3
01125,16.7,63947,13.9
01127,18,54509,19.7
01129,18.4,60503,21
01131,29,42236,21.7
01133,19.5,48032,22
02013,12.4,72692,13.1
02016,9.2,107344,6
02020,9.3,98152,12.9
02050,24,70616,8.4
02060,9.7,100625,18.5
