fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
01001,0.406768132,0,0.1352093342,0.0982333798
01003,0.3758645536,0,0.1196811561,0.1155147835
01005,0.6591999366,0,0.1380638064,0.1066602894
01007,1,1,0.119266055,0.1100699301
01009,0.9048939696,0,0.1025821596,0.0936733221
01011,1,0,0.1271929825,0.1827411168
01013,0.6943467535,0,0.0987748851,0.1043018868
01015,0.3649401843,0,0.123715995,0.1096265368
01017,0.5074485218,0,0.152,0.0972611267
01019,1,0,0.0851393189,0.0744437513
01021,0.8554449727,0,0.1286231884,0.1025839947
01023,1,1,0.1362763916,0.1087001878
01025,1,0,0.12,0.0992501704
01027,1,0,0.1009259259,0.0625455872
01029,1,0,0.0830357143,0.0693450743
01031,0.4753015992,1,0.1140136719,0.1192512016
01033,0.4029566463,0,0.1071113074,0.114608309
01035,1,0,0.0633213859,0.1089541373
01037,1,0,0.0666666667,0.0329586101
01039,0.6881554432,0,0.1185729276,0.0978922369
01041,1,0,0.104189044,0.1160599572
01043,0.7559920788,0,0.1051912568,0.0913160521
01045,0.5045209423,0,0.1163328197,0.1042850316
01047,0.4486246165,0,0.155022593,0.1782864343
01049,0.8829739694,0,0.1228515625,0.0810355455
01051,0.7123680053,0,0.1052797977,0.0925560994
01053,0.6528280328,0,0.1125776398,0.1196551724
01055,0.4316968947,0,0.1136066858,0.1212646283
01057,1,0,0.0983078163,0.0986922406
01059,0.6904991748,0,0.0994979461,0.0885748591
01061,0.9944108931,0,0.1280931587,0.0933306629
01063,1,0,0.1385964912,0.1391076115
01065,1,0,0.147030185,0.1536972513
01067,1,0,0.0843091335,0.0822926673
01069,0.3431652395,0,0.1322545322,0.1309954973
01071,0.7530953422,0,0.1008631319,0.095359028
01073,0.1207091524,0,0.160617936,0.1595986405
01075,1,0,0.0981308411,0.0644748079
01077,0.5216322517,0,0.1192987081,0.1120334216
01079,0.9999395277,0,0.0862068966,0.0663910506
01081,0.2638988527,0,0.1806875792,0.1743920796
01083,0.5101284156,0,0.0992497038,0.0769825719
