fips,cropland_acres,land_area_acres,cropland_share_of_land
01001,35509,380451.218769992,0.0933339104939695
01003,104184,1017512.01683928,0.102390928338742
01005,55435,566405.107425873,0.0978716457059049
01007,11423,398380.506169765,0.0286735917623746
01009,40551,412730.011274217,0.09825066966855
01011,29173,398601.604944941,0.0731883656214321
01013,16242,497176.656196511,0.0326684686369915
01015,21694,387769.718082217,0.055945575397923
01017,22465,381794.757660975,0.0588405145676421
01019,84248,354255.426348794,0.237817105212246
01021,18568,443415.510042564,0.0418749447853496
01023,8734,584626.641664752,0.0149394491758527
01025,11917,792589.047434961,0.0150355345415972
01027,17895,386535.933023047,0.0462958252290946
01029,8363,358467.486572484,0.0233298703878656
01031,56841,434551.103652059,0.130803948079515
01033,57928,379489.781647808,0.152647061400354
01035,22165,544178.777049514,0.0407310996584184
01037,3786,416581.856099808,0.00908824987109597
01039,49819,659565.172655878,0.0755330967512934
01041,21393,389673.513320118,0.054899805269612
01043,60539,470233.123880829,0.128742525622977
01045,45359,359112.360203439,0.126308657196605
01047,76472,626392.274056579,0.122083242669581
01049,86905,497329.29664983,0.174743375436396
01051,35814,395850.208103354,0.0904736167036426
01053,57211,605061.040914978,0.0945540964156032
01055,32445,342467.490002507,0.0947389195971929
01057,16315,401717.550671694,0.0406131123042058
01059,40332,405733.686969318,0.0994051056032967
01061,87425,367670.179982473,0.237781046056462
01063,23461,414094.762926633,0.0566561137701631
01065,29246,412153.654529095,0.0709589728942594
01067,82731,359610.82661431,0.23005703354068
01069,113408,371088.587143467,0.305608967586371
01071,118882,689929.255524629,0.172310420304761
01073,6971,711385.765163868,0.00979918398900522
01075,12850,387101.61802808,0.0331954179511279
01077,98755,427531.222049873,0.230988977896168
01079,127305,442038.019119337,0.287995589731461
01081,16941,388828.465056333,0.0435693410397451
01083,150019,360578.453232077,0.416050927767012
01085,44644,458294.458194239,0.0974133533621707
01087,35489,389545.719312858,0.0911035553480117
01089,139102,513025.05756893,0.271140752186964
01091,47697,625214.945905122,0.0762889631996068
01093,28546,475098.939938393,0.0600843268640035
01095,53220,362140.802949515,0.146959413483764
01097,39631,786799.380466295,0.0503698922290874
01099,44699,656427.950414505,0.0680942972823972
01101,41709,502627.011399679,0.0829820106242437
01103,56580,370988.093832911,0.152511632962224
01105,57083,460588.665107798,0.12393487796023
01107,39890,564100.823307772,0.0707143091302246
