fips,pop2020,pop2024,dom_mig_2024,pct_growth_2020_24
01001,58909,61464,727,4.3
01003,233244,261608,6570,12.2
01005,24975,24358,-236,-2.5
01007,22176,22258,373,0.4
01009,59110,60163,425,1.8
01011,10230,9901,-5,-3.2
01013,19027,18256,-33,-4.1
01015,116242,116427,258,0.2
01017,34572,33813,-246,-2.2
01019,24981,26138,602,4.6
01021,45060,47262,571,4.9
01023,12622,12052,-93,-4.5
01025,22989,22142,-129,-3.7
01027,14210,14239,122,0.2
01029,15063,15905,278,5.6
01031,53565,56358,371,5.2
01033,57305,58785,544,2.6
01035,11551,11109,-9,-3.8
01037,10340,10291,97,-0.5
01039,37513,37748,133,0.6
01041,13171,13114,-34,-0.4
01043,88142,92604,856,5.1
01045,49260,50067,38,1.6
01047,38185,35545,-712,-6.9
01049,71673,73122,446,2
01051,87871,91042,506,3.6
01053,36687,36630,153,-0.2
01055,103437,103207,296,-0.2
01057,16329,15863,44,-2.9
01059,32076,31874,-241,-0.6
01061,26703,27259,294,2.1
01063,7701,7127,-138,-7.5
01065,14771,15116,195,2.3
01067,17171,18141,352,5.6
01069,107300,109366,554,1.9
01071,52532,53780,573,2.4
01073,674727,664744,-1939,-1.5
01075,13954,13543,-16,-2.9
01077,94031,97502,720,3.7
01079,33075,33567,207,1.5
01081,174856,187847,1506,7.4
01083,104209,118942,3714,14.1
01085,10284,9485,-114,-7.8
01087,19472,18159,-106,-6.7
01089,390527,423355,6666,8.4
01091,19271,18512,-133,-3.9
01093,29175,29323,154,0.5
01095,97706,102156,410,4.6
01097,414409,412339,-516,-0.5
01099,19704,19057,-117,-3.3
01101,228363,225894,-2114,-1.1
01103,123329,126084,105,2.2
01105,8456,7719,-52,-8.7
01107,18962,18508,-155,-2.4
01109,32904,33124,-164,0.7
01111,22093,23067,324,4.4
01113,59252,58837,157,-0.7
01115,91687,96927,1519,5.7
01117,223915,235969,720,5.4
01119,12192,11607,-89,-4.8
01121,81416,81375,546,-0.1
01123,41288,40699,199,-1.4
01125,232651,241212,362,3.7
01127,65141,65260,536,0.2
01129,15331,15018,-10,-2
01131,10533,9865,-42,-6.3
01133,23488,23869,248,1.6
02013,3426,3632,-57,6
02016,5223,5424,-57,3.8
02020,290905,289600,-2322,-0.4
02050,18670,18237,-191,-2.3
02060,830,884,4,6.5
02063,7082,6604,-149,-6.7
02066,2614,2631,-18,0.7
02068,1614,1621,5,0.4
02070,4840,4642,-41,-4.1
02090,95349,94951,-1849,-0.4
02100,2085,2104,-3,0.9
02105,2354,2312,37,-1.8
02110,32203,31572,-55,-2
02122,58941,61259,3,3.9
02130,13912,13677,-80,-1.7
02150,13044,12654,-266,-3
02158,8369,7946,-195,-5.1
02164,1452,1315,-36,-9.4
02170,107522,117613,1755,9.4
02180,10019,9836,-51,-1.8
02185,11006,10663,-51,-3.1
02188,7795,7134,-211,-8.5
02195,3407,3436,-14,0.9
02198,5745,5746,39,0
02220,8430,8355,37,-0.9
02230,1240,1119,4,-9.8
02240,6826,7313,44,7.1
02275,2129,2064,-13,-3.1
02282,682,690,4,1.2
02290,5303,5099,-47,-3.8
04001,65917,64800,-311,-1.7
04003,125533,125773,581,0.2
04005,145190,145161,-702,0
04007,53355,54073,461,1.3
04009,38630,40242,514,4.2
04011,9531,9410,-83,-1.3
04012,16573,16992,189,2.5
04013,4445415,4673096,-1866,5.1
04015,214173,226479,4659,5.7
04017,106773,109516,335,2.6
04019,1045227,1080149,4043,3.3
04021,430213,513862,23230,19.4
04023,47712,50508,-148,5.9
04025,237228,252013,3546,6.2
04027,205665,220310,454,7.1
05001,17104,16050,-175,-6.2
05003,18963,17984,-150,-5.2
05005,41696,43007,593,3.1
05007,286621,321566,5720,12.2
05009,37393,38636,230,3.3
05011,10492,9935,-125,-5.3
05013,4736,4690,66,-1
05015,28241,28968,225,2.6
05017,10159,9272,-96,-8.7
05019,21403,20920,72,-2.3
05021,14534,14112,18,-2.9
05023,24716,25646,344,3.8
05025,7554,7367,40,-2.5
05027,22743,22024,-82,-3.2
05029,20734,21422,393,3.3
05031,111623,115852,1186,3.8
05033,60160,62258,467,3.5
05035,48090,46633,-518,-3
05037,16801,16194,-227,-3.6
05039,6441,6076,-49,-5.7
05041,11321,10321,-129,-8.8
05043,17315,16935,-31,-2.2
05045,123820,131611,1094,6.3
05047,17141,17586,221,2.6
05049,12051,12546,243,4.1
05051,100266,99902,568,-0.4
05053,18019,18546,200,2.9
05055,45861,46928,182,2.3
05057,19986,19105,-136,-4.4
05059,33076,33313,262,0.7
05061,12758,12387,-67,-2.9
05063,37945,38345,31,1.1
05065,13604,14291,216,5
05067,16759,16673,-41,-0.5
05069,66835,63672,196,-4.7
05071,25727,26172,58,1.7
05073,6295,6015,13,-4.4
05075,16216,16305,117,0.5
05077,8530,8104,-79,-5
05079,12890,12868,33,-0.2
05081,11971,11626,-35,-2.9
05083,21109,21457,234,1.6
05085,74072,76389,314,3.1
05087,16560,17865,139,7.9
05089,16867,17593,231,4.3
05091,42586,41958,-12,-1.5
05093,40545,38095,-562,-6
05095,6771,6415,-82,-5.3
05097,8484,8510,-30,0.3
05099,8287,8004,-56,-3.4
05101,7196,7026,-12,-2.4
05103,22617,21684,32,-4.1
05105,10003,10251,110,2.5
05107,16441,14661,-358,-10.8
05109,10156,10027,-90,-1.3
05111,22955,22300,-37,-2.9
05113,19186,19434,66,1.3
05115,63407,64829,-50,2.2
05117,8247,7935,-24,-3.8
05119,399286,401209,-1415,0.5
05121,18595,19040,114,2.4
05123,23019,21822,-202,-5.2
05125,123820,131252,1483,6
05127,9829,9837,83,0.1
05129,7844,7836,52,-0.1
05131,127813,130035,535,1.7
05133,15782,15735,67,-0.3
05135,17315,18130,265,4.7
05137,12347,12785,189,3.5
05139,38940,37008,-293,-5
05141,15797,16152,146,2.2
05143,246779,266184,1246,7.9
05145,76863,79091,580,2.9
05147,6221,5808,-98,-6.6
05149,20217,20134,52,-0.4
06001,1680614,1649060,-22141,-1.9
06003,1179,1099,-15,-6.8
06005,40584,42026,387,3.6
06007,210222,208334,896,-0.9
06009,45350,46505,67,2.5
06011,21868,22074,-188,0.9
06013,1166165,1172607,-4692,0.6
06015,27616,27009,567,-2.2
06017,191250,192823,226,0.8
06019,1009613,1024125,-6429,1.4
06021,28889,28304,-10,-2
06023,136324,132380,-1315,-2.9
06025,179730,181724,-1196,1.1
06027,18999,18485,-38,-2.7
06029,906124,922529,-2154,1.8
06031,152797,154913,-135,1.4
06033,68200,67764,36,-0.6
06035,32319,28340,-438,-12.3
06037,9996634,9757179,-99979,-2.4
06039,156434,165432,704,5.8
06041,261341,256400,-1505,-1.9
06043,17133,17048,26,-0.5
06045,91362,89175,-428,-2.4
06047,282963,296774,-902,4.9
06049,8677,8491,-2,-2.1
06051,13225,12991,-460,-1.8
06053,440506,436251,-5447,-1
06055,137465,132727,-1155,-3.4
06057,102267,102195,321,-0.1
06059,3186261,3170435,-22370,-0.5
06061,405951,433822,7506,6.9
06063,19761,18834,-222,-4.7
06065,2424663,2529933,7509,4.3
06067,1586727,1611231,-5859,1.5
06069,64533,69159,289,7.2
20127,5370,5279,2,-1.7
06071,2183526,2214281,-6260,1.4
06073,3301182,3298799,-23934,-0.1
06075,874826,827526,-5594,-5.4
06077,780676,816108,-42,4.5
06079,281924,281843,-678,0
06081,762727,742893,-6006,-2.6
06083,448083,444500,-4612,-0.8
06085,1924802,1926325,-22034,0.1
06087,271768,262406,-2801,-3.4
06089,182190,181121,814,-0.6
06091,3229,3113,-23,-3.6
06093,43999,42498,-157,-3.4
06095,452887,455101,284,0.5
06097,488501,485375,-206,-0.6
06099,553710,556972,-2186,0.6
06101,99479,98545,-1058,-0.9
06103,65690,64451,-504,-1.9
06105,16095,15642,63,-2.8
06107,473944,483546,-2111,2
06109,55397,53893,73,-2.7
06111,843808,835427,-3889,-1
06113,217768,225251,-1296,3.4
06115,82001,87469,1128,6.7
20129,2703,2485,-108,-8.1
08001,520517,542973,992,4.3
08003,16375,16689,-35,1.9
08005,655312,666918,-6587,1.8
08007,13425,14112,-12,5.1
08009,3482,3367,20,-3.3
08011,5480,5779,78,5.5
08013,330953,330262,-1034,-0.2
08014,74494,78323,736,5.1
08015,19488,20780,221,6.6
08017,1746,1712,-30,-1.9
08019,9360,9076,-43,-3
08021,7451,7549,23,1.3
08023,3501,3686,89,5.3
08025,5685,5600,15,-1.5
08027,4725,5553,2,17.5
08029,31056,32215,615,3.7
08031,717620,729019,-2114,1.6
08033,2331,2467,-54,5.8
08035,360327,393995,5161,9.3
08037,55663,54330,-882,-2.4
08039,26207,29382,489,12.1
08041,733804,752772,-40,2.6
08043,48889,50093,-27,2.5
08045,61803,63167,-287,2.2
08047,5817,5963,41,2.5
08049,15747,16154,85,2.6
08051,16946,17310,-103,2.1
08053,787,747,-11,-5.1
08055,6824,6988,28,2.4
08057,1378,1273,-38,-7.6
08059,583169,578533,-1476,-0.8
08061,1452,1392,28,-4.1
08063,7063,7080,4,0.2
