fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
10001,1,3,5.7,0.568869727228318,0.379904225942297,0.20437954533442,0,0,0,0,0,0,0,0,0,water
10005,1,4,13.6,0.592252596076082,0.406589907276774,0.243257673698474,0,0,0,0,0,0,0,0,0,water
12003,1,1,4.3,0.299431026082644,0.359868767748226,0.319351297116556,0,0,0,0,0,0,0,0,0,water
12005,1,3,14.4,0.533332649981353,0.382553031513721,0.158836849676796,0,0,0,0,0,0,0,0,0,water
12009,1,2,8.2,0.491704311672083,0.399499601682899,0.12419153894708,0,0,0,0,0,0,0,0,0,water
12015,1,3,12.8,0.49525284014707,0.488862954914912,0.134534885773914,0,0,0,0,0,0,0,0,0,water
12017,1,3,10.1,0.199657658392264,0.518084524206768,0.195117909588154,0,0,0,0,0,0,0,0,0,water
12019,1,1,8.1,0.153419536317124,0.312329536932864,0.159182631603421,0,0,0,0,0,0,0,0,0,water
12021,1,2,10.3,0.238889667303634,0.462259630702288,0.154179590835259,0,0,0,0,0,0,0,0,0,water
12035,1,2,17.9,0.491846859024937,0.434792929681549,0.138730985859847,0,0,0,0,0,0,0,0,0,water
12037,1,8,4,0.481979663027614,0.439254963679459,0.447630940939147,0,0,0,0,0,0,0,0,0,water
12045,1,8,11.3,0.484780245973759,0.394176693356225,0.444891224913138,0,0,0,0,0,0,0,0,0,water
12053,1,1,11.5,0.195495657499099,0.424741971252434,0.179402833728443,0,0,0,0,0,0,0,0,0,water
12055,1,3,8.3,0.516171118302995,0.504642918916795,0.177514110216941,0,0,0,0,0,0,0,0,0,water
12061,1,3,7.3,0.160297542889417,0.473828445217417,0.139297861600931,0,0,0,0,0,0,0,0,0,water
12069,1,1,15,0.525889984322685,0.412952916951669,0.177241248315217,0,0,0,0,0,0,0,0,0,water
12071,1,2,12.5,0.518422458202882,0.459129512042529,0.125363454629431,0,0,0,0,0,0,0,0,0,water
12081,1,2,14.1,0.176040693232257,0.429895204218423,0.127685790654069,0,0,0,0,0,0,0,0,0,water
12083,1,2,13.6,0.238116843880018,0.474127753752487,0.21311895427858,0,0,0,0,0,0,0,0,0,water
12085,1,2,4.4,0.17998092272998,0.451267258321953,0.136571205792287,0,0,0,0,0,0,0,0,0,water
12087,1,4,-2.3,0.290849186035149,0.473120717434,0.15513948927294,0,0,0,0,0,0,0,0,0,water
12089,1,1,14.7,0.257225789859603,0.340916966733237,0.26037184795631,0,0,0,0,0,0,0,0,0,water
12091,1,2,4,0.177057735463508,0.345194635928862,0.146420604401279,0,0,0,0,0,0,0,0,0,water
12099,1,1,5.9,0.55188429793724,0.453128539738859,0.116870614213062,0,0,0,0,0,0,0,0,0,water
12101,1,1,16.4,0.163219086105501,0.411500547290883,0.136641151300692,0,0,0,0,0,0,0,0,0,water
12103,1,1,0.6,0.17067520139408,0.456328834395066,0.111615654433083,0,0,0,0,0,0,0,0,0,water
12105,1,2,16.8,0.537300198066908,0.437108201762038,0.149310604302226,0,0,0,0,0,0,0,0,0,water
12109,1,1,20.9,0.161027729569481,0.289164996924576,0.160224131146122,0,0,0,0,0,0,0,0,0,water
12111,1,2,17.9,0.498163277706438,0.446588283175388,0.124593410056271,0,0,0,0,0,0,0,0,0,water
12113,1,2,9.9,0.177878552008275,0.292375640328481,0.17960538279987,0,0,0,0,0,0,0,0,0,water
12115,1,2,9.2,0.156741514947823,0.454823804378036,0.118954481319566,0,0,0,0,0,0,0,0,0,water
12117,1,1,4.9,0.501919692016091,0.357097999381742,0.122026711354998,0,0,0,0,0,0,0,0,0,water
12119,1,3,18.7,0.529798447839696,0.529061333847567,0.18716230743757,0,0,0,0,0,0,0,0,0,water
12127,1,2,8.5,0.522959904930981,0.454512630831688,0.140212400206436,0,0,0,0,0,0,0,0,0,water
12129,1,2,9.5,0.330388158222523,0.292402054047889,0.348674787753363,0,0,0,0,0,0,0,0,0,water
12131,1,2,18.2,0.33226988846448,0.361086813722601,0.299325736019209,0,0,0,0,0,0,0,0,0,water
13011,1,8,12,0.751846636597296,0.367528835936296,0.454834725746037,0,0,0,0,0,0,0,0,0,water
13013,1,1,14.6,0.566664057893903,0.311442368980341,0.2203031315777,0,0,0,0,0,0,0,0,0,water
13015,1,1,7.5,0.253064163870998,0.316545065989005,0.243375572617713,0,0,0,0,0,0,0,0,0,water
13029,1,2,13.5,0.25610587565039,0.244820431386577,0.269233256720021,0,0,0,0,0,0,0,0,0,water
13039,1,4,7.6,0.594155492212217,0.387289514715965,0.210294271961552,0,0,0,0,0,0,0,0,0,water
13045,1,1,8.7,0.330381186549865,0.390674951904371,0.295617145818668,0,0,0,0,0,0,0,0,0,water
13047,1,2,1.4,0.527214891294932,0.333711403264285,0.191076183153728,0,0,0,0,0,0,0,0,0,water
13057,1,1,9.5,0.175951320621563,0.250641922149852,0.173011505977917,0,0,0,0,0,0,0,0,0,water
13067,1,1,2.8,0.13095554767817,0.277461733226221,0.110881307111436,0,0,0,0,0,0,0,0,0,water
13073,1,2,6.8,0.129111308488956,0.254298398932395,0.160603196662338,0,0,0,0,0,0,0,0,0,water
13077,1,1,7.8,0.254759431136718,0.272209183696759,0.26047038337601,0,0,0,0,0,0,0,0,0,water
13083,1,2,-1,0.431625372518967,0.346218354442683,0.432085974352578,0,0,0,0,0,0,0,0,0,water
