fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
01001,1,2,4.3,0.267339739324349,0.339189686022646,0.2533619536689,0,0,0,0,0,0,0,0,0,water
01003,1,3,12.2,0.240749202234662,0.36876109429583,0.241030505758419,0,0,0,0,0,0,0,0,0,water
01005,2,6,-2.5,0.354478068004101,0.477144602826984,0.350079838171447,0,0,0,0,0,0,0,0,0,water
01007,2,1,0.4,0.78169223568307,0.445826586460237,0.444545848729852,0,0,0,0,0,0,0,0,0,water
01009,1,1,1.8,0.399155179232849,0.381914743257799,0.421608439303366,0,0,0,0,0,0,0,0,0,water
01011,2,8,-3.2,0.456674395022176,0.576396652211586,0.481229269278237,0,0,0,0,0,0,0,0,0,water
01013,2,6,-4.1,0.324978872924523,0.477903069397261,0.374233260898984,0,0,0,0,0,0,0,0,0,water
01015,3,3,0.2,0.241340365982026,0.42373758380582,0.233120264237307,0,0,0,0,0,0,0,0,0,water
01017,2,6,-2.2,0.318513586353654,0.425148981169047,0.296977853639925,0,0,0,0,0,0,0,0,0,water
01019,4,8,4.6,0.412559328810831,0.414926188358462,0.476857633326373,0,0,0,0,0,0,0,0,0,water
01021,1,1,4.9,0.409989698203515,0.378394867290873,0.395488456470378,0,0,0,0,0,0,0,0,0,water
01023,2,9,-4.5,0.799536391486568,0.486155406548013,0.46837148291454,0,0,0,0,0,0,0,0,0,water
01025,2,9,-3.7,0.44912882414724,0.457444363570701,0.456710647282396,0,0,0,0,0,0,0,0,0,water
01027,2,9,0.2,0.429119769767454,0.394365232959926,0.467419334387542,0,0,0,0,0,0,0,0,0,water
01029,4,8,5.6,0.410352608913745,0.377825485510888,0.459733489487253,0,0,0,0,0,0,0,0,0,water
01031,3,4,5.2,0.601282922320475,0.410103230263541,0.287238357943877,0,0,0,0,0,0,0,0,0,water
01033,3,3,2.6,0.23659389743679,0.433629623949009,0.246008943536191,0,0,0,0,0,0,0,0,0,water
01035,2,9,-3.8,0.389671916003123,0.536158939107909,0.476579833361104,0,0,0,0,0,0,0,0,0,water
01037,2,8,-0.5,0.393181177060405,0.352311282992633,0.451124986203249,0,0,0,0,0,0,0,0,0,water
01039,2,6,0.6,0.343683613365006,0.444569850333703,0.347485943791684,0,0,0,0,0,0,0,0,0,water
01041,2,8,-0.4,0.432542840641996,0.446326764439094,0.474849077876717,0,0,0,0,0,0,0,0,0,water
01043,1,4,5.1,0.352258206560075,0.3809272602212,0.373975769625055,0,0,0,0,0,0,0,0,0,water
01045,3,4,1.6,0.280122198696807,0.428548793053744,0.286245587274166,0,0,0,0,0,0,0,0,0,water
01047,2,4,-6.9,0.302076373543261,0.597988895438737,0.263376366173622,0,0,0,0,0,0,0,0,0,water
01049,1,6,2,0.413111488764868,0.419473243494433,0.418002756338713,0,0,0,0,0,0,0,0,0,water
01051,1,2,3.6,0.337809729758537,0.320885949140262,0.351473024261734,0,0,0,0,0,0,0,0,0,water
01053,2,6,-0.2,0.325618642781563,0.479989808650272,0.337755371970681,0,0,0,0,0,0,0,0,0,water
01055,3,3,-0.2,0.252987751586399,0.44518233609097,0.256249325516743,0,0,0,0,0,0,0,0,0,water
01057,2,8,-2.9,0.426373324666948,0.447919030915593,0.467920315279575,0,0,0,0,0,0,0,0,0,water
01059,1,6,-0.6,0.324454850972606,0.405658422547363,0.353002245675503,0,0,0,0,0,0,0,0,0,water
01061,2,3,2.1,0.455755660771063,0.437093642747869,0.452447948688179,0,0,0,0,0,0,0,0,0,water
01063,2,2,-7.5,0.468636885285264,0.631287788932713,0.461857953209195,0,0,0,0,0,0,0,0,0,water
01065,2,2,2.3,0.477483985122559,0.536988641050722,0.49916162920696,0,0,0,0,0,0,0,0,0,water
01067,2,3,5.6,0.41168844906449,0.40678818562941,0.504143135782409,0,0,0,0,0,0,0,0,0,water
